lement_code,element_name,disseminated,calculated,Source,source
4508,In-stream water usage by hydropower plants,I,V,A,AQUASTAT
4509,Exploitable: total renewable surface water,D,C,C,DERIVED
4510,Treated municipal wastewater discharged (secondary water),D,V,A,AQUASTAT
4511,Water reserved for ecosystems,I,V,A,AQUASTAT
4512,Direct use of the not treated municipal wastewater for irrigation purposes,D,V,A,AQUASTAT
4513,Area equipped for irrigation by direct use of non-treated municipal wastewater,D,V,A,AQUASTAT
4514,% of area equipped for irrigation by direct use of non-treated municipal wastewater,D,C,C,DERIVED
4515,Number of municipal wastewater treatment facilities,D,V,A,AQUASTAT
4516,Capacity of the municipal wastewater treatment facilities,D,V,A,AQUASTAT
4517,Not treated municipal wastewater discharged (secondary water),D,V,A,AQUASTAT
4520,Harvested irrigated temporary crop area: Total,D,V,A,AQUASTAT
4521,Harvested irrigated permanent crop area: Total,D,V,A,AQUASTAT
4522,Harvested irrigated permanent crop area: Grass and Fodder,D,V,A,AQUASTAT
4523,Harvested irrigated permanent crop area: Grapes,D,V,A,AQUASTAT
4524,Harvested irrigated permanent crop area: Other fruits,D,V,A,AQUASTAT
4525,Harvested irrigated permanent crop area: Olives,D,V,A,AQUASTAT
4526,Area equipped for irrigation by direct use of agricultural drainage water,D,V,A,AQUASTAT
4527,% of area equipped for irrigation by direct use of agricultural drainage water,D,C,C,DERIVED
4530,Produced industrial wastewater,I,V,A,AQUASTAT
4531,Industrial water withdrawal per capita,I,C,C,DERIVED
4532,Agricultural water withdrawal per capita,I,C,C,DERIVED
4533,Area equipped by direct use of treated municipal wastewater,D,C,C,DERIVED
4534,Area equipped by direct use of not treated municipal wastewater,D,C,C,DERIVED
4535,Direct use of treated municipal wastewater,D,C,C,DERIVED
4536,Overlap: between surface water and groundwater,D,C,C,DERIVED
4537,Gender Inequality Index (GII),D,V,O,UNKNOWN
4538,% of economically active population active in agriculture,I,C,C,DERIVED
4539,Area equipped for irrigation by desalinated water,D,V,A,AQUASTAT
4540,% of area equipped for irrigation by desalinated water,D,C,C,DERIVED
4541,Interannual variability (WRI),D,V,O,WORLD_RESOURCES_INSTITUTE
4542,Seasonal variability (WRI),D,V,O,WORLD_RESOURCES_INSTITUTE
4543,Flood occurrence (WRI),D,V,O,WORLD_RESOURCES_INSTITUTE
4544,% of the area equipped for irrigation managed by women,D,V,A,AQUASTAT
4545,% of the agricultural holdings with irrigation managed by women,D,V,A,AQUASTAT
4546,"Industry, value added to GDP",I,V,O,WORLD_BANK
4547,"Services, value added to GDP",I,V,O,WORLD_BANK
4548,"Agriculture, value added to GDP",I,V,O,WORLD_BANK
4549,Environmental Flow Requirements,D,V,O,UNKNOWN
4550,SDG 6.4.2. Water Stress,D,C,C,DERIVED
4551,SDG 6.4.1. Water Use Efficiency,I,C,C,DERIVED
4552,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,I,C,C,DERIVED
4553,SDG 6.4.1. Industrial Water Use Efficiency,I,C,C,DERIVED
4554,SDG 6.4.1. Services Water Use Efficiency,I,C,C,DERIVED
4555,% of agricultural GVA produced by irrigated agriculture,I,C,C,DERIVED
4556,% of arable land irrigated,I,C,C,DERIVED
4557,Ratio between rainfed and irrigated yields,I,V,A,AQUASTAT
4558,GDP deflator (2015),I,C,C,DERIVED
4559,Land area,D,V,O,FAOSTAT
4560,Inland waterd,D,V,O,FAOSTAT
